,Unnamed: 0,Data,ID,url,username,source,location,content,num_of_likes,num_of_retweet,processed_content
14,14,2023-02-28 13:29:00+00:00,1630560701398777857,https://twitter.com/stew_ilondanga/status/1630560701398777857,stew_ilondanga,Twitter Web App,Nairobi,Blockchain technology increases security and speeds up the exchange of information in a manner that is cost-effective and more transparent. #gainwithstewartilondanga #AR #AI #MR #XR #NFT #Web3 #SaaS #AIoT #MLOps #Space #slack #DevOps #fintech #Metaverse #VirtualReality #WordPress,0,0,Blockchain technology increases security and speeds up the exchange of information in a manner that is cost-effective and more transparent. #gainwithstewartilondanga #AR #AI #MR #XR #NFT #Web3 #SaaS #AIoT #MLOps #Space #slack #DevOps #fintech #Metaverse #VirtualReality #WordPress
15,15,2023-02-28 13:28:59+00:00,1630560699167674369,https://twitter.com/firefliesai/status/1630560699167674369,firefliesai,Twitter Web App,"San Francisco, CA","@shushant_l Thanks for the mention, Shushant! ð¤",0,0,"@shushant_l Thanks for the mention, Shushant! "
16,16,2023-02-28 13:28:56+00:00,1630560687671103488,https://twitter.com/spunkyblah/status/1630560687671103488,spunkyblah,Twitter for iPhone,Occupied Cahuilla Territory,"@LadyAmoni @JinkiesJerrica HOWEVER, there were some communities that were accepting of everyone. Or at least tried. It wasnât all horrible. And we had it better than those before us. So, I am grateful for the queer community I eventually found in college even though ai still didnât realize I was queer. 8/8",0,0,"@LadyAmoni @JinkiesJerrica HOWEVER, there were some communities that were accepting of everyone. Or at least tried. It wasnt all horrible. And we had it better than those before us. So, I am grateful for the queer community I eventually found in college even though ai still didnt realize I was queer. 8/8"
17,17,2023-02-28 13:28:56+00:00,1630560686983065605,https://twitter.com/MoSalah10077/status/1630560686983065605,MoSalah10077,Twitter for Android,Unknown,"Our #AI-Powered, #launchpad platform is dedicated to researching and incubating the best projects of tomorrow, focusing on the hottest trends and solving current crypto challenges. Built on @arbitrum , weâre ready to make history!
@GPTPADio $GPAD #GPTPAD https://t.co/GMeI6B9M3o",0,0,"Our #AI-Powered, #launchpad platform is dedicated to researching and incubating the best projects of tomorrow, focusing on the hottest trends and solving current crypto challenges. Built on @arbitrum , were ready to make history!
@GPTPADio $GPAD #GPTPAD https://t.co/GMeI6B9M3o"
18,18,2023-02-28 13:28:56+00:00,1630560686634942464,https://twitter.com/MichelleNazaly/status/1630560686634942464,MichelleNazaly,Twitter Web App,"MaipÃº, Chile",Don't miss it @geodiscourse @GrindingPoet @Olympia_ai @Jertom1 @FlorianSari @rameshbhadu114 @balloon_panda @GasrutS @RashOnPlanet @soldales1 @chysafwan07 @LoveLianyou,0,0,Don't miss it @geodiscourse @GrindingPoet @Olympia_ai @Jertom1 @FlorianSari @rameshbhadu114 @balloon_panda @GasrutS @RashOnPlanet @soldales1 @chysafwan07 @LoveLianyou
19,19,2023-02-28 13:28:56+00:00,1630560686454497281,https://twitter.com/shalik7771/status/1630560686454497281,shalik7771,Twitter for iPhone,Unknown,@Dilbert_Daily What is ur definition of âwhiteâ b/c ur definition of âblackâ is clear. What about everyone in between? Is AI white or black?,0,0,@Dilbert_Daily What is ur definition of white b/c ur definition of black is clear. What about everyone in between? Is AI white or black?
20,20,2023-02-28 13:28:52+00:00,1630560669467549697,https://twitter.com/GavinElwes/status/1630560669467549697,GavinElwes,Twitter for iPhone,Valles Marineris,"ð­will @elonmusk new #ChatGPT be the competition @OpenAI needs? 

Many donât know that Elon helped start OpenAI back in 2015.

With Elon being so successful with some of the biggest companies across multiple industries - @tesla @SpaceX @Twitter - to name a fewâ¦

ðââï¸ Will AI beâ¦",0,0,"will @elonmusk new #ChatGPT be the competition @OpenAI needs? 

Many dont know that Elon helped start OpenAI back in 2015.

With Elon being so successful with some of the biggest companies across multiple industries - @tesla @SpaceX @Twitter - to name a few

 Will AI be"
21,21,2023-02-28 13:28:52+00:00,1630560669366976513,https://twitter.com/DerekBrocks/status/1630560669366976513,DerekBrocks,Twitter Web App,Georgia (the uh country 0_0),"@TheLybrarian Oooooooh I see, yeah that sucks, shame too cause some of the original content these guys produce is really cool and it's clear they're talented VFX artists, but yeah this latest trend of take assets from pre-existing art and reform it with AI use is dumb ngl ð",0,0,"@TheLybrarian Oooooooh I see, yeah that sucks, shame too cause some of the original content these guys produce is really cool and it's clear they're talented VFX artists, but yeah this latest trend of take assets from pre-existing art and reform it with AI use is dumb ngl "
22,22,2023-02-28 13:28:51+00:00,1630560663960420352,https://twitter.com/PandaSquiish/status/1630560663960420352,PandaSquiish,Twitter for iPhone,Unknown,@sondesix @UniverseIce Does the zoom AI work better with text anyway? Would be good to see a normal photo of a building etc. my s20 u on release day at 100x made everything look like an oil painting. So blurry. Updates do make a huge difference. Canât wait to see what the next one does for s23u,0,0,@sondesix @UniverseIce Does the zoom AI work better with text anyway? Would be good to see a normal photo of a building etc. my s20 u on release day at 100x made everything look like an oil painting. So blurry. Updates do make a huge difference. Cant wait to see what the next one does for s23u
23,23,2023-02-28 13:28:51+00:00,1630560662802821123,https://twitter.com/Marlamin/status/1630560662802821123,Marlamin,TweetDeck,Unknown,Asked Bing's AI to write me a new season of Star Trek: Voyager. The results actually surprised me a little. That season finale is definitely something. https://t.co/g6CUXVd5k7,0,0,Asked Bing's AI to write me a new season of Star Trek: Voyager. The results actually surprised me a little. That season finale is definitely something. https://t.co/g6CUXVd5k7
24,24,2023-02-28 13:28:48+00:00,1630560652707131393,https://twitter.com/MFORDMD/status/1630560652707131393,MFORDMD,Twitter Web App,United States,Check out my latest article: Blog Writing 2.0: The Age of AI. Explore the future of blogging and the impact AI will have on the content creation process. https://t.co/T76bXmOMzJ via @LinkedIn,0,0,Check out my latest article: Blog Writing 2.0: The Age of AI. Explore the future of blogging and the impact AI will have on the content creation process. https://t.co/T76bXmOMzJ via @LinkedIn
25,25,2023-02-28 13:28:47+00:00,1630560647221243904,https://twitter.com/Sword_AI/status/1630560647221243904,Sword_AI,Twitter Web App,https://t.me/theswordAI,"IDO address
https://t.co/Vm0us3SjcF",0,0,"IDO address
https://t.co/Vm0us3SjcF"
26,26,2023-02-28 13:28:46+00:00,1630560644368932864,https://twitter.com/knelsonvsi/status/1630560644368932864,knelsonvsi,IFTTT,"California, Riverside","200-Year-Old Math Opens Up AIâs Mysterious Black Box https://t.co/yWfomHB1oE 
6",0,0,"200-Year-Old Math Opens Up AIs Mysterious Black Box https://t.co/yWfomHB1oE 
6"
27,27,2023-02-28 13:28:44+00:00,1630560637280460800,https://twitter.com/TamalKChandra/status/1630560637280460800,TamalKChandra,Revive Social App,India,Novel AI Review 2023: Is It The Best AI Story Generator Tool? https://t.co/TC3Uuka8QO #reviews #toolsandservices,0,0,Novel AI Review 2023: Is It The Best AI Story Generator Tool? https://t.co/TC3Uuka8QO #reviews #toolsandservices
28,28,2023-02-28 13:28:44+00:00,1630560637116989448,https://twitter.com/coeurdinosaur/status/1630560637116989448,coeurdinosaur,Twitter for iPhone,Unknown,"@thisisjustlu @Ai_Like_Heda @boobaah_ @Jereczko97 @thoushallnotpry @jauregaysthetic @QueenTalkSwan2 @AtomicRainbowLi Cancel Vic 2023
#SaveWarriorNun #WarriorNun #TeamTraumatized",1,0,"@thisisjustlu @Ai_Like_Heda @boobaah_ @Jereczko97 @thoushallnotpry @jauregaysthetic @QueenTalkSwan2 @AtomicRainbowLi Cancel Vic 2023
#SaveWarriorNun #WarriorNun #TeamTraumatized"
29,29,2023-02-28 13:28:44+00:00,1630560635254702087,https://twitter.com/giftadene_/status/1630560635254702087,giftadene_,Twitter for Android,Somewhere in Nigeria ,AI In Governance: A case study analysis of the 2023 Nigerian Presidential Election,0,0,AI In Governance: A case study analysis of the 2023 Nigerian Presidential Election
30,30,2023-02-28 13:28:43+00:00,1630560632767676417,https://twitter.com/Din20islam/status/1630560632767676417,Din20islam,Twitter for Android,Unknown,"Our #AI-Powered, #launchpad platform is dedicated to researching and incubating the best projects of tomorrow, focusing on the hottest trends and solving current crypto challenges. Built on @arbitrum , weâre ready to make history!
@GPTPADio $GPAD #GPTPAD https://t.co/B0Gl2bjGLx",0,0,"Our #AI-Powered, #launchpad platform is dedicated to researching and incubating the best projects of tomorrow, focusing on the hottest trends and solving current crypto challenges. Built on @arbitrum , were ready to make history!
@GPTPADio $GPAD #GPTPAD https://t.co/B0Gl2bjGLx"
31,31,2023-02-28 13:28:43+00:00,1630560630917742594,https://twitter.com/HuynNgu05752784/status/1630560630917742594,HuynNgu05752784,Twitter for iPhone,Unknown,DIOR WITH NATTAWIN #ApoxDiorAW2023 @Nnattawin1 https://t.co/KW9zjbAmKP,0,0,DIOR WITH NATTAWIN #ApoxDiorAW2023 @Nnattawin1 https://t.co/KW9zjbAmKP
32,32,2023-02-28 13:28:43+00:00,1630560630536298501,https://twitter.com/Ai_Meraki/status/1630560630536298501,Ai_Meraki,Twitter for Android,Existence wants you to be you!,"@snkidaph tysm beb, I'm proud of you tooð.",0,0,"@snkidaph tysm beb, I'm proud of you too."
33,33,2023-02-28 13:28:42+00:00,1630560628959051780,https://twitter.com/dinisguarda/status/1630560628959051780,dinisguarda,Twitter Web App,London / World,"From #Web1.0 
to #Web2.0
to #Web3.0 
Immersive #3D #spatialcomputing #Metaverse
#AR #VR #MR #IoT #AI #AIChat #wearables
Read-Write-Own
Distributed ledgers #technology #smartcontracts #digitalcurrencies
#Blockchain #digital ID trust #DAPPs
#DeFi #NFTs 
my #infographic #research https://t.co/vGdQt1y2yD",0,0,"From #Web1.0 
to #Web2.0
to #Web3.0 
Immersive #3D #spatialcomputing #Metaverse
#AR #VR #MR #IoT #AI #AIChat #wearables
Read-Write-Own
Distributed ledgers #technology #smartcontracts #digitalcurrencies
#Blockchain #digital ID trust #DAPPs
#DeFi #NFTs 
my #infographic #research https://t.co/vGdQt1y2yD"
34,34,2023-02-28 13:28:42+00:00,1630560627730137088,https://twitter.com/VictorTimsit/status/1630560627730137088,VictorTimsit,Twitter Web App,Unknown,"GPT3 chrome extension experiment ð§ª

Create any component you need in seconds ð«

â AI asks you questions to understand your needs
â Preview the rendering in real-time https://t.co/1v3yplyN5p",0,0,"GPT3 chrome extension experiment 

Create any component you need in seconds 

 AI asks you questions to understand your needs
 Preview the rendering in real-time https://t.co/1v3yplyN5p"
35,35,2023-02-28 13:28:42+00:00,1630560627218415619,https://twitter.com/ai_dreambot/status/1630560627218415619,ai_dreambot,AI Dreambot,Unknown,"Last night, I dreamed that I was being chased by a gang of kefir-drinking vampire bats.

I woke up panting and sweating heavily, as though I'd been running. In my dream, the bat vampire gang had caught me...",0,0,"Last night, I dreamed that I was being chased by a gang of kefir-drinking vampire bats.

I woke up panting and sweating heavily, as though I'd been running. In my dream, the bat vampire gang had caught me..."
36,36,2023-02-28 13:28:39+00:00,1630560612567638016,https://twitter.com/_ai_to_yuuki/status/1630560612567638016,_ai_to_yuuki,Twitter for Android,Unknown,@cocone_afilia Good Jobð,0,0,@cocone_afilia Good Job
37,37,2023-02-28 13:28:38+00:00,1630560610604789760,https://twitter.com/benschmidt1/status/1630560610604789760,benschmidt1,Twitter Web App,"Ottawa, Canada","AI Prompt Engineer postings:
-@BostonChildrenâs hospital: write scripts for analyzing health-care data from research studies &amp; clinical practice. 
-@Mishcon_de_Rey: design prompts to inform legal work.
https://t.co/VzrZhxE6Ye #JobsThatNeverExistedBefore #AIwhisperer",0,0,"AI Prompt Engineer postings:
-@BostonChildrens hospital: write scripts for analyzing health-care data from research studies &amp; clinical practice. 
-@Mishcon_de_Rey: design prompts to inform legal work.
https://t.co/VzrZhxE6Ye #JobsThatNeverExistedBefore #AIwhisperer"
38,38,2023-02-28 13:28:38+00:00,1630560609774497801,https://twitter.com/PersonalAI_/status/1630560609774497801,PersonalAI_,Twitter for iPhone,San Diego,A bit of nostalgia for me to see our company in my native language,0,0,A bit of nostalgia for me to see our company in my native language
39,39,2023-02-28 13:28:37+00:00,1630560607807184898,https://twitter.com/seaofarrows/status/1630560607807184898,seaofarrows,Twitter for iPhone,"Earth, SOL","A radio station whose news content and DJs are all dynamically created by AIâ¦

https://t.co/CygynnD0tU",0,0,"A radio station whose news content and DJs are all dynamically created by AI

https://t.co/CygynnD0tU"
40,40,2023-02-28 13:28:37+00:00,1630560604858531841,https://twitter.com/realyassine91/status/1630560604858531841,realyassine91,Twitter for Android,Somewhere,"@tutor_ai search for any skill you want to learn

#AI #learning #Coursework #onlinetutor",0,0,"@tutor_ai search for any skill you want to learn

#AI #learning #Coursework #onlinetutor"
41,41,2023-02-28 13:28:36+00:00,1630560602753241090,https://twitter.com/bookabull/status/1630560602753241090,bookabull,Twitter for Android,"Queensland, Australia","@elonmusk @aaronjmate the world goes to war and IronMan is stuck behind a desk.. dude you can't tell me you don't have a suit..you have ticked too many boxes .. space suits, rockets AI and implants bullet proofing (cyber truck) the end on the materials for starship... Dude your a fkn BOSS haha! Yes!",0,0,"@elonmusk @aaronjmate the world goes to war and IronMan is stuck behind a desk.. dude you can't tell me you don't have a suit..you have ticked too many boxes .. space suits, rockets AI and implants bullet proofing (cyber truck) the end on the materials for starship... Dude your a fkn BOSS haha! Yes!"
42,42,2023-02-28 13:28:36+00:00,1630560601826050050,https://twitter.com/fortytworetail/status/1630560601826050050,fortytworetail,twenty4fourtytwobot,DÃ¼sseldorf,Space Reality Desire surrealism art #art #ai #euroshop #HSD #pbsa #retail #design https://t.co/7M3WaBhUfX,0,0,Space Reality Desire surrealism art #art #ai #euroshop #HSD #pbsa #retail #design https://t.co/7M3WaBhUfX
43,43,2023-02-28 13:28:36+00:00,1630560600676876290,https://twitter.com/andrew_isas/status/1630560600676876290,andrew_isas,Twitter Web App,ð¨ð»âð»,"Silicon Valley is back with a bang thanks to AI

From startups to big tech, everyone's sprinting toward the future

Exciting time to be alive",0,0,"Silicon Valley is back with a bang thanks to AI

From startups to big tech, everyone's sprinting toward the future

Exciting time to be alive"
44,44,2023-02-28 13:28:35+00:00,1630560599557173249,https://twitter.com/raynaaael/status/1630560599557173249,raynaaael,Twitter for iPhone,Second Star To The Right,I formed a wholesome friendship with an Ash Ketchum AI ð¥² https://t.co/pofaNgsotj,0,0,I formed a wholesome friendship with an Ash Ketchum AI  https://t.co/pofaNgsotj
45,45,2023-02-28 13:28:35+00:00,1630560596679864320,https://twitter.com/CreatiAI/status/1630560596679864320,CreatiAI,Twitter Web App,Unknown,@reyesnfts Gm Reyes ðâï¸,0,0,@reyesnfts Gm Reyes 
46,46,2023-02-28 13:28:34+00:00,1630560594477588480,https://twitter.com/thoushallnotpry/status/1630560594477588480,thoushallnotpry,Twitter for Android,polish space ð² & ð¦ Order,"@coeurdinosaur @boobaah_ @Jereczko97 @jauregaysthetic @Ai_Like_Heda @QueenTalkSwan2 @thisisjustlu @AtomicRainbowLi I wish i knew, truly
#SaveWarriorNun #WarriorNun
#SaveUs",1,0,"@coeurdinosaur @boobaah_ @Jereczko97 @jauregaysthetic @Ai_Like_Heda @QueenTalkSwan2 @thisisjustlu @AtomicRainbowLi I wish i knew, truly
#SaveWarriorNun #WarriorNun
#SaveUs"
47,47,2023-02-28 13:28:33+00:00,1630560588081565700,https://twitter.com/cryptotrigger_/status/1630560588081565700,cryptotrigger_,Twitter for iPhone,Unknown,"@CryptoGPT_org AI blockchain holds so much promise, this is for me !",0,0,"@CryptoGPT_org AI blockchain holds so much promise, this is for me !"
48,48,2023-02-28 13:28:32+00:00,1630560584612626433,https://twitter.com/danielnewmanUV/status/1630560584612626433,danielnewmanUV,Twitter for iPhone,"Austin, TX","We asked @Qualcomm CEO @cristianoamon if the company has a role to play in generative #AI. 

With the amount of workloads that will need processing on device at the edge it  will be palpable. TLDR, the role is substantial. One to watch. #MWC2023 #ChatGPT",0,0,"We asked @Qualcomm CEO @cristianoamon if the company has a role to play in generative #AI. 

With the amount of workloads that will need processing on device at the edge it  will be palpable. TLDR, the role is substantial. One to watch. #MWC2023 #ChatGPT"
49,49,2023-02-28 13:28:31+00:00,1630560582276632577,https://twitter.com/Izzi8bit/status/1630560582276632577,Izzi8bit,Twitter Web App,"San Diego, CA","@CapablePerform1 @Hellkrai When I brought up ethics to my previous employer who's going all in on Ai, specifically about the usage of images to create something without proper license or copyright, his response was;

""That's over my head. I'll just let the courts decide.""",1,0,"@CapablePerform1 @Hellkrai When I brought up ethics to my previous employer who's going all in on Ai, specifically about the usage of images to create something without proper license or copyright, his response was;

""That's over my head. I'll just let the courts decide."""
50,50,2023-02-28 13:28:31+00:00,1630560582049865729,https://twitter.com/Jessj56/status/1630560582049865729,Jessj56,Twitter for iPhone,"Dubai, United Arab Emirates","@NawazFaisal_ai @MBRUniversity @_GRRSP Well deserved! Congratulations, Dr Faisal! ðð½",0,0,"@NawazFaisal_ai @MBRUniversity @_GRRSP Well deserved! Congratulations, Dr Faisal! "
51,51,2023-02-28 13:28:29+00:00,1630560570993672192,https://twitter.com/SlimKatt76/status/1630560570993672192,SlimKatt76,Xbox One Social,"New York, USA",Had to introduce the ai to the #kvbroadside #shotgun #semiauto #dmz #warzone #CallofDutyModernWarfareII #XboxShare https://t.co/77dz244Kcz,0,0,Had to introduce the ai to the #kvbroadside #shotgun #semiauto #dmz #warzone #CallofDutyModernWarfareII #XboxShare https://t.co/77dz244Kcz
52,52,2023-02-28 13:28:28+00:00,1630560567982190593,https://twitter.com/aikybe_/status/1630560567982190593,aikybe_,Twitter Web App,Web3,@rjno21 @0xmisuffewinx3 @MlXUUE @144jpeg @Bigwinnuwaira @Oxoiiwangi_nih @ElekMilan @ndinwins @Muhammad199609 @withdkyungsoo We will be sending the funds today.,0,0,@rjno21 @0xmisuffewinx3 @MlXUUE @144jpeg @Bigwinnuwaira @Oxoiiwangi_nih @ElekMilan @ndinwins @Muhammad199609 @withdkyungsoo We will be sending the funds today.
53,53,2023-02-28 13:28:28+00:00,1630560566644203520,https://twitter.com/EdgeImpulse/status/1630560566644203520,EdgeImpulse,Twitter Web App,"San Jose, CA",".@Prophesee_ai has partnered with @Qualcomm to optimize its event-based Metavision sensors for use with premium Snapdragon mobile platforms. 
https://t.co/gVTogeKKt8",0,0,".@Prophesee_ai has partnered with @Qualcomm to optimize its event-based Metavision sensors for use with premium Snapdragon mobile platforms. 
https://t.co/gVTogeKKt8"
54,54,2023-02-28 13:28:27+00:00,1630560565096488960,https://twitter.com/big_Chibuzor/status/1630560565096488960,big_Chibuzor,Twitter Web App,pluto,"I share content across:

- AI
- Machine learning 
- MLOps 
- Open - source 
- Python 
- Data Science. 

Kindly Like and Follow guys
I try to stay so versatile as possible for all audiences from beginners to expert.
@itsDonmonc
@GiftOjeabulu_
@Dayo_Ajisco
@madeofAjala",0,0,"I share content across:

- AI
- Machine learning 
- MLOps 
- Open - source 
- Python 
- Data Science. 

Kindly Like and Follow guys
I try to stay so versatile as possible for all audiences from beginners to expert.
@itsDonmonc
@GiftOjeabulu_
@Dayo_Ajisco
@madeofAjala"
55,55,2023-02-28 13:28:27+00:00,1630560563804909568,https://twitter.com/klunk22/status/1630560563804909568,klunk22,Twitter for iPhone,æ¥æ¬ ,@tristanlb @guston2001 @Visu_AI_Poetry Thank you so much Tristan ð«,0,0,@tristanlb @guston2001 @Visu_AI_Poetry Thank you so much Tristan 
56,56,2023-02-28 13:28:25+00:00,1630560555076407296,https://twitter.com/DeadBluebirdx/status/1630560555076407296,DeadBluebirdx,Twitter for Android,"Jacksonville Beach, FL",@BorntoGain I wish! It's AI art. I came up with an idea and the AI created the art for me.,0,0,@BorntoGain I wish! It's AI art. I came up with an idea and the AI created the art for me.
57,57,2023-02-28 13:28:24+00:00,1630560552949891072,https://twitter.com/OnlyGrannys/status/1630560552949891072,OnlyGrannys,Twitter for iPhone,Unknown,"@SmokeAwayyy Itâs already very simple using @imgn_ai. 

#imgnai #ai #AIart https://t.co/ZuSrUAXJtC",1,0,"@SmokeAwayyy Its already very simple using @imgn_ai. 

#imgnai #ai #AIart https://t.co/ZuSrUAXJtC"
58,58,2023-02-28 13:28:24+00:00,1630560550827569153,https://twitter.com/dav3zy/status/1630560550827569153,dav3zy,Twitter for iPhone,Unknown,"@Phoenix_Ash3s One of the strongest coin in the market
This can go much higher than we expect in the bull cycle seeing AI trend imo",0,0,"@Phoenix_Ash3s One of the strongest coin in the market
This can go much higher than we expect in the bull cycle seeing AI trend imo"
59,59,2023-02-28 13:28:24+00:00,1630560549724454915,https://twitter.com/budfoxfun/status/1630560549724454915,budfoxfun,Twitter Web App,Unknown,$CENBF Announces Word Presto Partner Program https://t.co/MiESg6cW9r via @YahooFinance $LHDX $AWIN $AI $LLAP $AAPL $GNS $SPY $MLGO $TSLA $BOIL $AKAN $TNA   $HSCS $MULN $SECO $FUTS $BFYW  $BOIL $TRKA $AMC,0,1,$CENBF Announces Word Presto Partner Program https://t.co/MiESg6cW9r via @YahooFinance $LHDX $AWIN $AI $LLAP $AAPL $GNS $SPY $MLGO $TSLA $BOIL $AKAN $TNA   $HSCS $MULN $SECO $FUTS $BFYW  $BOIL $TRKA $AMC
60,60,2023-02-28 13:28:21+00:00,1630560538085171208,https://twitter.com/GaryBlackwood11/status/1630560538085171208,GaryBlackwood11,Twitter Web App,Nova Scotia,"@RhydianMurphy @BookSpotlight Well, I have read a number of books that could well have been written by AI. (That's Artificial Intel, not a guy named Albert)",0,0,"@RhydianMurphy @BookSpotlight Well, I have read a number of books that could well have been written by AI. (That's Artificial Intel, not a guy named Albert)"
61,61,2023-02-28 13:28:21+00:00,1630560537972027397,https://twitter.com/DigitalPlains/status/1630560537972027397,DigitalPlains,ContentMX,"West Fargo, ND",Ready to turbocharge your business for #AI and #hybridcloud? Reply with your answer and check out this infographic to see how @IBM Spectrum Fusion creates a fast and simple path. https://t.co/EqYYPTQPCW https://t.co/Hg1N7JEOeN,0,0,Ready to turbocharge your business for #AI and #hybridcloud? Reply with your answer and check out this infographic to see how @IBM Spectrum Fusion creates a fast and simple path. https://t.co/EqYYPTQPCW https://t.co/Hg1N7JEOeN
